Date,Food Item,Sales,Price,Category
2024-07-01,Aloo Tikki Burger,39,49,Burger
2024-07-01,Aloo Tikki Twist,30,69,Burger
2024-07-01,Veg Makhani,20,79,Burger
2024-07-01,Crispy Veg Burger,56,99,Burger
2024-07-01,Veg Chilly Loaded Burger,60,99,Burger
2024-07-01,Desi Masala Crunch,98,119,Burger
2024-07-01,Punjabi Paneer,40,109,Burger
2024-07-01,Veg King Burger,64,99,Burger
2024-07-01,Paneer Supreme Burger,80,129,Burger
2024-07-01,Double Crispy Cheese Burger,62,129,Burger
2024-07-02,Aloo Tikki Burger,68,49,Burger
2024-07-02,Aloo Tikki Twist,40,69,Burger
2024-07-02,Veg Makhani,36,79,Burger
2024-07-02,Crispy Veg Burger,73,99,Burger
2024-07-02,Veg Chilly Loaded Burger,95,99,Burger
2024-07-02,Desi Masala Crunch,48,119,Burger
2024-07-02,Punjabi Paneer,53,109,Burger
2024-07-02,Veg King Burger,51,99,Burger
2024-07-02,Paneer Supreme Burger,99,129,Burger
2024-07-02,Double Crispy Cheese Burger,28,129,Burger
2024-07-03,Aloo Tikki Burger,28,49,Burger
2024-07-03,Aloo Tikki Twist,69,69,Burger
2024-07-03,Veg Makhani,45,79,Burger
2024-07-03,Crispy Veg Burger,81,99,Burger
2024-07-03,Veg Chilly Loaded Burger,40,99,Burger
2024-07-03,Desi Masala Crunch,38,119,Burger
2024-07-03,Punjabi Paneer,98,109,Burger
2024-07-03,Veg King Burger,72,99,Burger
2024-07-03,Paneer Supreme Burger,28,129,Burger
2024-07-03,Double Crispy Cheese Burger,34,129,Burger
2024-07-04,Aloo Tikki Burger,96,49,Burger
2024-07-04,Aloo Tikki Twist,91,69,Burger
2024-07-04,Veg Makhani,32,79,Burger
2024-07-04,Crispy Veg Burger,21,99,Burger
2024-07-04,Veg Chilly Loaded Burger,91,99,Burger
2024-07-04,Desi Masala Crunch,93,119,Burger
2024-07-04,Punjabi Paneer,20,109,Burger
2024-07-04,Veg King Burger,67,99,Burger
2024-07-04,Paneer Supreme Burger,32,129,Burger
2024-07-04,Double Crispy Cheese Burger,20,129,Burger
2024-07-05,Aloo Tikki Burger,48,49,Burger
2024-07-05,Aloo Tikki Twist,85,69,Burger
2024-07-05,Veg Makhani,60,79,Burger
